-3.50177e-07 -5.06639e-06 
0.976717   -0.578749  
-0.823849  0.720828   
-0.664775  0.812001   
0.514451   -0.869843  
0.373875   -0.909043  
-0.234685  0.937981   
0.0854248  -0.950299  
0.0700436  0.932011   
-0.220528  -0.874862  
0.341591   0.780944   
0.42119    0.670556   
0.458389   0.566358   
0.471896   0.488817   
0.482909   0.436584   
-0.510734  -0.398634  
-0.557796  -0.355346  
0.611792   0.289498   
0.6556     0.195613   
-0.671647  -0.0830531 
0.652209   -0.0273826 
-0.602584  0.12041    
0.539672   -0.184171  
-0.482995  0.221004   
-0.445471  0.246724   
-0.421732  0.281683   
-0.392816  0.335248   
2.36034e-05 4.17233e-07 
3.59714e-05 9.14633e-05 
0.000617206 -0.000300854 
-0.000111043 9.65446e-05 
0.000702083 -0.000724696 
7.91997e-06 1.87755e-06 
5.64754e-05 -8.67844e-05 
-7.59363e-05 -9.42051e-05 
0.000130504 -0.000101447 
9.17912e-06 8.97646e-05 
0.000106052 1.49012e-05 
0.109292   0.152386   
0.118825   0.133314   
-0.134261  -0.107692  
-0.148133  -0.0665634 
0.146145   0.0100935  
0.118187   -0.0506721 
-0.0638719 0.101433   
-0.0100692 -0.132197  
0.0950548  0.13886    
-0.186458  -0.119852  
-0.281094  -0.0717605 
-0.370132  0.0130975  
-0.437807  0.138807   
-0.463229  0.300418   
-0.432501  0.477572   
0.337957   -0.647151  
0.186693   -0.784637  
0.00213639 0.871796   
0.208859   0.907261   
-0.420659  -0.890422  
0.626622   0.820168   
-0.818208  -0.706337  
0.981733   0.541716   
1.10463    0.333778   
1.17179    0.0972224  
1.16807    -0.153897  
