EVM 0	19	0.216670	0.000000	0.166431
EVM 1	19	0.218377	0.000000	0.167078
EVM 2	16	-1.071494	0.000000	0.154545
EVM 3	17	1.498042	0.000000	0.445495
EVM 4	16	-1.070413	0.000000	0.154609
EVM 5	19	0.213089	0.000000	0.165122
EVM 6	17	1.385740	0.000000	0.342361
EVM 7	17	1.498513	0.000000	0.445937
EVM 8	19	0.212021	0.000000	0.164745
EVM 9	17	1.490697	0.000000	0.438612
EVM 10	18	-0.215689	0.000000	0.166065
EVM 11	16	-1.069200	0.000000	0.154689
EVM 12	20	-0.636118	0.000000	0.205286
EVM 13	17	1.501404	0.000000	0.448650
EVM 14	16	-1.069816	0.000000	0.154647
EVM 15	21	0.645146	0.000000	0.199447
EVM 16	16	-1.502633	0.000000	0.449804
EVM 17	17	1.498976	0.000000	0.446371
EVM 18	17	1.075591	0.000000	0.154370
EVM 19	20	-0.646333	0.000000	0.198697
EVM 20	16	-1.407858	0.000000	0.362242
EVM 21	19	0.230149	0.000000	0.171936
EVM 22	16	-1.518203	0.000000	0.464460
EVM 23	16	-1.500164	0.000000	0.447486
EVM 24	18	-0.212340	0.000000	0.164857
EVM 25	20	-0.647156	0.000000	0.198179
EVM 26	16	-1.499837	0.000000	0.447179
EVM 27	19	0.212816	0.000000	0.165025
EVM 28	18	-0.216426	0.000000	0.166339
EVM 29	16	-1.055650	0.000000	0.156232
EVM 30	17	1.076199	0.000000	0.154353
EVM 31	17	1.390097	0.000000	0.346256
EVM 32	17	1.507182	0.000000	0.454080
EVM 33	18	-0.207374	0.000000	0.163175
EVM 34	17	1.481343	0.000000	0.429868
EVM 35	17	1.078128	0.000000	0.154316
EVM 36	17	1.085935	0.000000	0.154413
EVM 37	17	1.068779	0.000000	0.154720
EVM 38	21	0.674701	0.000000	0.182161
EVM 39	19	0.225434	0.000000	0.169909
EVM 40	19	0.218709	0.000000	0.167205
EVM 41	17	1.579764	0.000000	0.522924
EVM 42	16	-1.073310	0.000000	0.154454
EVM 43	16	-1.080411	0.000000	0.154304
EVM 44	17	1.450392	0.000000	0.401134
EVM 45	17	1.377939	0.000000	0.335415
EVM 46	17	1.068249	0.000000	0.154760
EVM 47	16	-1.488562	0.000000	0.436614
EVM 48	17	1.490288	0.000000	0.438229
EVM 49	16	-1.504903	0.000000	0.451937
EVM 50	17	1.481140	0.000000	0.429678
EVM 51	21	0.654275	0.000000	0.193791
EVM 52	16	-1.071857	0.000000	0.154525
EVM 53	19	0.210557	0.000000	0.164238
EVM 54	16	-1.497482	0.000000	0.444969
EVM 55	18	-0.213154	0.000000	0.165145
EVM 56	18	-0.214085	0.000000	0.165479
EVM 57	17	1.075622	0.000000	0.154369
EVM 58	17	1.385533	0.000000	0.342176
EVM 59	19	0.213667	0.000000	0.165329
EVM 60	16	-1.069836	0.000000	0.154646
EVM 61	16	-1.488091	0.000000	0.436173
EVM 62	16	-1.503052	0.000000	0.450198
EVM 63	21	0.638993	0.000000	0.203401
EVM 64	16	-1.068000	0.000000	0.154779
EVM 65	20	-0.643408	0.000000	0.200553
EVM 66	18	-0.212318	0.000000	0.164849
EVM 67	19	0.223372	0.000000	0.169056
EVM 68	20	-0.642688	0.000000	0.201013
EVM 69	17	1.072427	0.000000	0.154495
EVM 70	19	0.221175	0.000000	0.168171
EVM 71	21	0.648838	0.000000	0.197128
EVM 72	16	-1.414225	0.000000	0.368013
EVM 73	16	-1.519349	0.000000	0.465541
EVM 74	17	1.507857	0.000000	0.454715
EVM 75	17	1.075153	0.000000	0.154383
EVM 76	21	0.644507	0.000000	0.199853
EVM 77	20	-0.642229	0.000000	0.201308
EVM 78	16	-1.499815	0.000000	0.447158
EVM 79	18	-0.205249	0.000000	0.162496
EVM 80	17	1.490059	0.000000	0.438014
EVM 81	18	-0.210099	0.000000	0.164081
EVM 82	19	0.213474	0.000000	0.165259
EVM 83	17	1.392371	0.000000	0.348293
EVM 84	20	-0.653322	0.000000	0.194369
EVM 85	17	1.503582	0.000000	0.450695
EVM 86	19	0.212350	0.000000	0.164860
EVM 87	20	-0.655102	0.000000	0.193292
EVM 88	16	-1.079221	0.000000	0.154306
EVM 89	21	0.653421	0.000000	0.194309
EVM 90	20	-0.649824	0.000000	0.196517
EVM 91	19	0.185764	0.000000	0.157478
EVM 92	18	-0.211549	0.000000	0.164580
EVM 93	20	-0.706923	0.000000	0.167278
EVM 94	16	-1.499312	0.000000	0.446686
EVM 95	16	-1.097856	0.000000	0.155319
EVM 96	23	0.596714	0.000000	0.204237
EVM 97	17	1.376122	0.000000	0.333803
EVM 98	21	0.623101	0.000000	0.214095
EVM 99	21	0.639343	0.000000	0.203174
EVM 100	17	1.064936	0.000000	0.155049
EVM 101	20	-0.647894	0.000000	0.197717
EVM 102	17	1.487779	0.000000	0.435881
EVM 103	18	-0.224864	0.000000	0.169671
EVM 104	17	1.497755	0.000000	0.445226
EVM 105	16	-1.504970	0.000000	0.452000
EVM 106	19	0.213861	0.000000	0.165398
EVM 107	20	-0.640782	0.000000	0.202240
EVM 108	20	-0.642763	0.000000	0.200965
EVM 109	16	-1.508422	0.000000	0.455247
EVM 110	17	1.384044	0.000000	0.340848
EVM 111	16	-1.497495	0.000000	0.444981
EVM 112	18	-0.212629	0.000000	0.164959
EVM 113	16	-1.491146	0.000000	0.439032
EVM 114	19	0.209044	0.000000	0.163726
EVM 115	17	1.069781	0.000000	0.154650
EVM 116	20	-0.641086	0.000000	0.202044
EVM 117	21	0.639306	0.000000	0.203197
EVM 118	16	-1.502041	0.000000	0.449248
EVM 119	19	0.215368	0.000000	0.165947
EVM 120	21	0.643198	0.000000	0.200687
EVM 121	18	-0.217207	0.000000	0.166632
EVM 122	19	0.206246	0.000000	0.162811
EVM 123	16	-1.507734	0.000000	0.454599
EVM 124	16	-1.409235	0.000000	0.363489
EVM 125	18	-0.233821	0.000000	0.173587
EVM 126	18	-0.224319	0.000000	0.169445
EVM 127	16	-1.507673	0.000000	0.454542
EVM 128	18	-0.213295	0.000000	0.165195
EVM 129	20	-0.643171	0.000000	0.200704
EVM 130	17	1.070163	0.000000	0.154625
EVM 131	19	0.207061	0.000000	0.163073
EVM 132	21	0.638098	0.000000	0.203986
EVM 133	17	1.059618	0.000000	0.155660
EVM 134	17	1.501825	0.000000	0.449046
EVM 135	17	1.395272	0.000000	0.350897
EVM 136	21	0.652965	0.000000	0.194587
EVM 137	16	-1.075900	0.000000	0.154361
EVM 138	21	0.636549	0.000000	0.205002
EVM 139	19	0.223514	0.000000	0.169114
EVM 140	20	-0.647229	0.000000	0.198134
EVM 141	16	-1.498703	0.000000	0.446115
EVM 142	16	-1.086315	0.000000	0.154428
EVM 143	18	-0.184862	0.000000	0.157300
EVM 144	16	-1.544900	0.000000	0.489721
EVM 145	20	-0.737040	0.000000	0.158108
EVM 146	17	1.047576	0.000000	0.157699
EVM 147	17	1.051115	0.000000	0.157006
EVM 148	20	-0.640926	0.000000	0.202147
EVM 149	17	1.376119	0.000000	0.333801
EVM 150	17	1.056580	0.000000	0.156089
EVM 151	18	-0.212536	0.000000	0.164926
EVM 152	21	0.642625	0.000000	0.201054
EVM 153	19	0.217612	0.000000	0.166786
EVM 154	17	1.492254	0.000000	0.440069
EVM 155	16	-1.064186	0.000000	0.155124
EVM 156	20	-0.644521	0.000000	0.199844
EVM 157	20	-0.646682	0.000000	0.198478
EVM 158	18	-0.213253	0.000000	0.165180
EVM 159	21	0.642184	0.000000	0.201337
EVM 160	21	0.643017	0.000000	0.200802
EVM 161	17	1.070909	0.000000	0.154578
EVM 162	17	1.386239	0.000000	0.342806
EVM 163	17	1.498460	0.000000	0.445886
EVM 164	16	-1.067561	0.000000	0.154814
EVM 165	17	1.064717	0.000000	0.155071
EVM 166	18	-0.212050	0.000000	0.164755
EVM 167	21	0.639454	0.000000	0.203101
EVM 168	21	0.641459	0.000000	0.201803
EVM 169	17	1.070711	0.000000	0.154590
EVM 170	18	-0.213828	0.000000	0.165386
EVM 171	19	0.210826	0.000000	0.164330
EVM 172	17	1.501571	0.000000	0.448807
EVM 173	19	0.214185	0.000000	0.165515
EVM 174	17	1.500120	0.000000	0.447444
EVM 175	16	-1.079290	0.000000	0.154306
EVM 176	16	-1.414427	0.000000	0.368196
EVM 177	17	1.491897	0.000000	0.439735
EVM 178	17	1.087749	0.000000	0.154492
EVM 179	17	1.508903	0.000000	0.455699
EVM 180	17	1.072869	0.000000	0.154474
EVM 181	21	0.645491	0.000000	0.199228
EVM 182	21	0.642644	0.000000	0.201042
EVM 183	18	-0.226080	0.000000	0.170181
EVM 184	21	0.638521	0.000000	0.203709
EVM 185	21	0.641865	0.000000	0.201542
EVM 186	20	-0.648965	0.000000	0.197049
EVM 187	17	1.390331	0.000000	0.346465
EVM 188	16	-1.510175	0.000000	0.456895
EVM 189	16	-1.511096	0.000000	0.457763
EVM 190	20	-0.639218	0.000000	0.203255
EVM 191	17	1.513094	0.000000	0.459644
EVM 192	16	-1.076606	0.000000	0.154343
EVM 193	17	1.510599	0.000000	0.457295
EVM 194	19	0.218232	0.000000	0.167022
EVM 195	16	-1.524979	0.000000	0.470856
EVM 196	21	0.654771	0.000000	0.193492
EVM 197	23	0.350307	0.000000	0.191021
EVM 198	16	-1.028057	0.000000	0.162851
EVM 199	16	-1.050492	0.000000	0.157123
EVM 200	17	1.044348	0.000000	0.158396
EVM 201	17	1.376022	0.000000	0.333715
EVM 202	20	-0.621651	0.000000	0.215103
EVM 203	17	1.493418	0.000000	0.441159
EVM 204	21	0.641063	0.000000	0.202059
EVM 205	16	-1.506314	0.000000	0.453264
EVM 206	17	1.486890	0.000000	0.435050
EVM 207	16	-1.505235	0.000000	0.452249
EVM 208	20	-0.640808	0.000000	0.202224
EVM 209	16	-1.075855	0.000000	0.154362
EVM 210	19	0.213814	0.000000	0.165382
EVM 211	17	1.498927	0.000000	0.446325
EVM 212	16	-1.075029	0.000000	0.154387
EVM 213	16	-1.071333	0.000000	0.154554
EVM 214	17	1.386638	0.000000	0.343163
EVM 215	21	0.643542	0.000000	0.200467
EVM 216	18	-0.213584	0.000000	0.165299
EVM 217	16	-1.068757	0.000000	0.154721
EVM 218	16	-1.068610	0.000000	0.154732
EVM 219	16	-1.073699	0.000000	0.154437
EVM 220	17	1.066822	0.000000	0.154876
EVM 221	17	1.497347	0.000000	0.444843
EVM 222	19	0.215753	0.000000	0.166089
EVM 223	19	0.209407	0.000000	0.163847
EVM 224	17	1.501527	0.000000	0.448766
EVM 225	19	0.209069	0.000000	0.163734
EVM 226	21	0.641787	0.000000	0.201592
EVM 227	18	-0.218965	0.000000	0.167304
EVM 228	16	-1.413037	0.000000	0.366935
EVM 229	21	0.668512	0.000000	0.185525
EVM 230	16	-1.527243	0.000000	0.472996
EVM 231	17	1.075189	0.000000	0.154382
EVM 232	21	0.644728	0.000000	0.199712
EVM 233	17	1.071735	0.000000	0.154531
EVM 234	20	-0.623529	0.000000	0.213799
EVM 235	21	0.644039	0.000000	0.200150
EVM 236	20	-0.640925	0.000000	0.202148
EVM 237	19	0.220435	0.000000	0.167878
EVM 238	17	1.069930	0.000000	0.154640
EVM 239	17	1.390520	0.000000	0.346635
EVM 240	16	-1.514002	0.000000	0.460500
EVM 241	20	-0.644965	0.000000	0.199562
EVM 242	21	0.640413	0.000000	0.202479
EVM 243	18	-0.226576	0.000000	0.170390
EVM 244	19	0.217307	0.000000	0.166670
EVM 245	21	0.650559	0.000000	0.196062
EVM 246	17	1.536855	0.000000	0.482093
EVM 247	21	0.646007	0.000000	0.198902
EVM 248	17	1.529340	0.000000	0.474979
EVM 249	17	1.669114	0.000000	0.608867
EVM 250	19	0.278789	0.000000	0.198258
EVM 251	16	-1.066277	0.000000	0.154923
EVM 252	16	-1.048332	0.000000	0.157544
EVM 253	17	1.373614	0.000000	0.331581
EVM 254	17	1.490384	0.000000	0.438319
EVM 255	16	-1.495656	0.000000	0.443257
EVM 256	17	1.485324	0.000000	0.433587
EVM 257	16	-1.506073	0.000000	0.453037
EVM 258	17	1.059212	0.000000	0.155714
EVM 259	21	0.630801	0.000000	0.208831
EVM 260	21	0.642763	0.000000	0.200966
EVM 261	18	-0.215739	0.000000	0.166084
EVM 262	19	0.212135	0.000000	0.164785
EVM 263	16	-1.070479	0.000000	0.154604
EVM 264	18	-0.213623	0.000000	0.165313
EVM 265	17	1.073543	0.000000	0.154444
EVM 266	17	1.384517	0.000000	0.341269
EVM 267	19	0.213374	0.000000	0.165224
EVM 268	19	0.213330	0.000000	0.165208
EVM 269	20	-0.637555	0.000000	0.204341
EVM 270	21	0.640198	0.000000	0.202619
EVM 271	17	1.497018	0.000000	0.444534
EVM 272	16	-1.495410	0.000000	0.443027
EVM 273	21	0.645353	0.000000	0.199316
EVM 274	18	-0.215064	0.000000	0.165835
EVM 275	20	-0.640887	0.000000	0.202172
EVM 276	16	-1.509351	0.000000	0.456120
EVM 277	18	-0.215765	0.000000	0.166094
EVM 278	21	0.640925	0.000000	0.202148
EVM 279	17	1.078763	0.000000	0.154309
EVM 280	16	-1.415887	0.000000	0.369522
EVM 281	16	-1.090765	0.000000	0.154670
EVM 282	18	-0.212055	0.000000	0.164757
EVM 283	19	0.212632	0.000000	0.164960
EVM 284	18	-0.214936	0.000000	0.165789
EVM 285	16	-1.500144	0.000000	0.447467
EVM 286	16	-1.492200	0.000000	0.440019
EVM 287	19	0.211835	0.000000	0.164680
EVM 288	16	-1.071411	0.000000	0.154549
EVM 289	17	1.057175	0.000000	0.156000
EVM 290	19	0.217836	0.000000	0.166871
EVM 291	17	1.391433	0.000000	0.347452
EVM 292	18	-0.219776	0.000000	0.167619
EVM 293	16	-1.507729	0.000000	0.454595
EVM 294	21	0.643116	0.000000	0.200739
EVM 295	16	-1.505974	0.000000	0.452944
EVM 296	17	1.089875	0.000000	0.154611
EVM 297	20	-0.648586	0.000000	0.197285
EVM 298	20	-0.663972	0.000000	0.188084
EVM 299	17	1.506669	0.000000	0.453597
EVM 300	16	-1.104277	0.000000	0.156182
