0          0          
0.7715     -0.7715    
-0.4629    0.7715     
1.0801     0.7715     
-0.1543    -0.4629    
1.0801     -1.0801    
0.7715     0.1543     
1          0          
-0.1543    -1.0801    
0.4629     0.4629     
-0.1543    -0.7715    
1.0801     0.7715     
0.7715     -0.4629    
0.4629     0.4629     
0.1543     0.1543     
-0.4629    -0.4629    
-0.1543    -0.7715    
-0.1543    1.0801     
-0.7715    -1.0801    
1.0801     0.4629     
-1.0801    -1.0801    
-1         0          
-0.4629    0.4629     
1.0801     -0.1543    
-0.4629    1.0801     
-0.1543    -1.0801    
0.4629     0.1543     
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
-0.1543    -0.7715    
0.1543     -0.1543    
0.4629     -0.7715    
-1.0801    -1.0801    
-0.7715    0.4629     
1          0          
-0.1543    -0.1543    
-0.4629    -1.0801    
0.1543     0.4629     
0.1543     1.0801     
-0.7715    -1.0801    
-1.0801    -1.0801    
-0.7715    -1.0801    
-0.7715    -0.7715    
-0.1543    0.7715     
-1.0801    0.4629     
-1.0801    0.7715     
-0.7715    0.4629     
-1.0801    1.0801     
1          0          
0.1543     -0.1543    
-0.4629    -0.7715    
1.0801     0.1543     
-0.4629    1.0801     
-1.0801    -0.7715    
0.7715     -0.4629    
0          0          
0.7715     0.7715     
0.7715     0.1543     
-1.0801    -0.7715    
1.0801     0.7715     
-0.7715    -0.4629    
0.7715     0.1543     
1          0          
-1.0801    -0.4629    
1.0801     0.7715     
-0.7715    0.1543     
-0.4629    0.4629     
0.7715     -0.4629    
0.7715     -0.4629    
1.0801     -1.0801    
1.0801     -1.0801    
1.0801     -0.7715    
-0.4629    -1.0801    
0.4629     -0.4629    
-0.1543    0.7715     
-1.0801    -0.1543    
-1         0          
0.1543     0.4629     
0.4629     -0.7715    
0.7715     -1.0801    
1.0801     -1.0801    
-0.7715    0.7715     
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
0          0          
1.0801     0.4629     
-0.7715    1.0801     
-0.1543    -1.0801    
0.7715     -0.1543    
-1.0801    0.1543     
1          0          
1.0801     1.0801     
-0.4629    1.0801     
0.7715     -0.1543    
-0.1543    0.1543     
0.1543     0.1543     
0.4629     -1.0801    
0.7715     0.7715     
-0.1543    1.0801     
-0.1543    0.7715     
0.1543     -1.0801    
1.0801     -0.7715    
-0.1543    0.7715     
1.0801     0.7715     
1          0          
0.7715     -0.1543    
0.4629     0.1543     
0.1543     0.7715     
-0.4629    -0.1543    
-0.7715    -0.1543    
1.0801     0.7715     
0          0          
1.0801     0.4629     
-0.7715    -0.4629    
-1.0801    -0.4629    
0.7715     1.0801     
-0.7715    0.7715     
-1.0801    -1.0801    
1          0          
1.0801     -0.1543    
0.4629     -0.4629    
0.1543     -0.7715    
0.1543     0.7715     
0.7715     0.4629     
-0.7715    -0.4629    
0.4629     0.4629     
